Manufacturer,Model,ICAO Type Designator,ICAO Legacy WTC,RECAT-EU WTC
ICA,IAR-824,IR24,L,CAT-F
ICA,Triumf,IR25,L,CAT-F
ICA,IAR-827 Dacic,IR27,L,CAT-F
ICA,IS-28MA,IR28,L,CAT-F
ICA,Pelican,IR31,L,CAT-F
IAR,Katty,IR46,L,CAT-F
CRAIOVA,Soim,IR99,L,CAT-F
ICA,IS-28M2,IS28,L,CAT-F
AEROJAMES,Isatis,ISAT,L,CAT-F
ISAACS,Spitfire,ISPT,L,CAT-F
TAYLORCRAFT (2),J-1 Autocrat,J1,L,CAT-F
CHENGDU,F-10,J10,M,CAT-E
EURO PINGOUIN,JA-177 Pingouin 152,J177,L,CAT-F
TAYLOR (1),J-2 Cub,J2,L,CAT-F
CHENGDU,J-20,J20,M,CAT-E
WAGAERO,Cuby Acro Trainer,J3,L,CAT-F
SAUPER,J-300 Joker,J300,L,CAT-F
RUAG,Dornier 328 JET Envoy,J328,M,CAT-E
PIPER,Cub Coupe,J4,L,CAT-F
PIPER,AE Cub Cruiser,J5,L,CAT-F
SHENYANG,J-8A,J8A,M,CAT-F
SHENYANG,F-8T,J8B,M,CAT-E
JABIRU,Jabiru J160,JAB2,L,CAT-F
SEABIRD,Yamamah J430,JAB4,L,CAT-F
JABIRU,Jabiru SP-6,JABI,L,CAT-F
POBER,Junior Ace,JACE,L,CAT-F
SEPECAT,Jaguar,JAGR,M,CAT-E
MARCO,J-5 Marco,JAJ5,L,CAT-F
J & AS,J-6 Fregata,JAJ6,L,CAT-F
SCHEMPP-HIRTH,Janus CT,JANU,L,CAT-F
JACKAROO,Thruxton Jackaroo,JARO,L,CAT-F
SOKO,Jastreb,JAST,L,CAT-F
OBERLERCHNER,JOB-15,JB15,L,CAT-F
COUPE,JC-01,JC01,L,CAT-F
COUPE,JC-02,JC02,L,CAT-F
IAI,Commodore Jet,JCOM,M,CAT-F
AASI,Jetcruzer,JCRU,L,CAT-F
DYKE,JD-2 Delta,JD2,L,CAT-F
AMERICAN,John Doe,JDOE,L,CAT-F
EUROALA,Jet Fox,JFOX,L,CAT-F
XIAN,JH-7,JH7,M,CAT-E
EKOLOT,Beetle,JK05,L,CAT-F
GUIZHOU,FTC-2000 Shanying,JL9,M,CAT-F
CAUDRON,JN-760 Cyclone,JN76,L,CAT-F
MARIE,Medoc,JPM1,L,CAT-F
HUNTING PERCIVAL,Jet Provost,JPRO,L,CAT-F
CHALARD,Julcar,JRC1,L,CAT-F
JETSTREAM,HP-137 Jetstream 1,JS1,L,CAT-F
JETSTREAM,Jetstream 200,JS20,L,CAT-F
VOLPAR,Century Jetstream 3,JS3,L,CAT-F
BRITISH AEROSPACE,BAe-3100 Jetstream,JS31,L/M,CAT-F
BRITISH AEROSPACE,BAe-3200 Jetstream,JS32,M,CAT-F
BRITISH AEROSPACE,Jetstream 41,JS41,M,CAT-F
PROMAVIA,F-1300 Jet Squalus,JSQA,L,CAT-F
SONEX,JSX SubSonex,JSX,L,CAT-F
TAYLOR (4),Titch,JT2,L,CAT-F
JUNKERS,Ju-52/3m,JU52,M,CAT-F
KAMINSKAS,RK-1 Jungster 1,JUN1,L,CAT-F
KAMINSKAS,RK-2 Jungster 2,JUN2,L,CAT-F
MALMO,Junior,JUNR,L,CAT-F
LAMMER GEYER,Jupiter,JUPI,L,CAT-F
KESTREL (1),K-250,K250,L,CAT-F
BOEING,Stratotanker (TF33,K35E,H,CAT-C
BOEING,C-135FR Stratotanker,K35R,H,CAT-C
KOREA AEROSPACE,Golden Eagle,K50,M,CAT-F
KOVACS,Peregrino,K51,L,CAT-F
NANCHANG,JL-8 Karakorum,K8,L,CAT-F
KARI,Firefly,KAFI,L,CAT-F
KIEGER,AK-1,KAK1,L,CAT-F
KIEGER,AK-3,KAK3,L,CAT-F
KHRUNICHEV,AT-3,KAT3,L,CAT-F
KARI,Twinbee,KATB,L,CAT-F
AEROSAMARA,Katran,KATR,L,CAT-F
KAWASAKI,XC-2,KC2,H,CAT-C
BOEING,KE-3,KE3,H,CAT-C
KESTREL (2),Sport Hawk,KEHA,L,CAT-F
KELEHER,Lark,KELA,L,CAT-F
KELLY,D,KELD,L,CAT-F
REARWIN,2000 Ken-Royce,KERO,L,CAT-F
FARNBOROUGH,F-1 Kestrel,KEST,L,CAT-F
KITPLANES FOR,Bushbaby,KFAB,L,CAT-F
KITPLANES FOR,Safari,KFAS,L,CAT-F
IAI,Kfir,KFIR,M,CAT-F
TRI-R,KIS TD,KIS2,L,CAT-F
TRI-R,Cruiser,KIS4,L,CAT-F
MITCHELL-PROCTER,Kittiwake,KITI,L,CAT-F
VALENTIN,Kiwi,KIWI,L,CAT-F
KARI-KEEN,Coupe,KK60,L,CAT-F
NABERN,Kl-107,KL07,L,CAT-F
FLIGHT DESIGN-,KLA-100,KL10,L,CAT-F
KLEMM,L-25,KL25,L,CAT-F
KLEMM,Kl-35,KL35,L,CAT-F
KOLB,King Colbra,KLBR,L,CAT-F
FUJI,TL-1,KM2,L,CAT-F
PAYNE,Knight Twister,KNTW,L,CAT-F
QUEST,Kodiak,KODI,L,CAT-F
KOLB,Laser,KOLL,L,CAT-F
KAPPA,Sova,KP2,L,CAT-F
JIHLAVAN,Rapid 500,KP5,L,CAT-F
RAND,KR-1,KR1,L,CAT-F
RAND,KR-2,KR2,L,CAT-F
KREIDER-REISNER,Challenger (C-6),KR21,L,CAT-F
EKOLOT,Topaz,KR30,L,CAT-F
KREIDER-REISNER,C-2 Challenger,KR31,L,CAT-F
KREIDER-REISNER,C-4 Challenger,KR34,L,CAT-F
SOKO,Kraguj,KRAG,L,CAT-F
ROCK,Krähe,KRAH,L,CAT-F
FLSZ,DK-1 Der Kricket,KRIC,L,CAT-F
PHOENIX-AVIACOR,Kasatik,KSTK,L,CAT-F
KOREA AEROSPACE,KO-1 Woong-Bee,KT1,L,CAT-F
NORMAN,Karatoo,KTOO,L,CAT-F
SAI (1),KZ-2 Traener,KZ2,L,CAT-F
SAI (1),KZ-3,KZ3,L,CAT-F
SAI (1),KZ-4,KZ4,L,CAT-F
SAI (1),KZ-7 Laerke,KZ7,L,CAT-F
SAI (1),KZ-8,KZ8,L,CAT-F
LOCKHEED,L-10 Electra,L10,L,CAT-F
LOCKHEED,TriStar,L101,H,CAT-C
TEMCO,Sedan,L11,L,CAT-F
QUARTZ MOUNTAIN,11E,L11E,L,CAT-F
LOCKHEED,L-12 Electra Junior,L12,L,CAT-F
LONGREN,L-13 Centaur,L13,L,CAT-F
LET,L-13 Blanik (single-,L13M,L,CAT-F
AEROTECHNIK,Vivat,L13S,L,CAT-F
LOCKHEED,L-14 Hudson,L14,M,CAT-F
HONGDU,L-15 Lieying,L15,M,CAT-F
AERO (2),L-159,L159,M,CAT-F
PACAERO,Learstar,L18,M,CAT-F
ASSOCIATED AIR,Liberty 181,L181,L,CAT-F
LOCKHEED,L-188 Electra,L188,M,CAT-E
LET,Morava,L200,L,CAT-F
AERO (2),Delfin,L29,L,CAT-F
LOCKHEED,Jetstar 6,L29A,M,CAT-E
LOCKHEED,Jetstar 2,L29B,M,CAT-E
OAKLAND,Centaurus,L37,M,CAT-E
LEDERLIN,380 Ladybug,L380,L,CAT-F
AERO (2),Albatros,L39,L,CAT-F
ORLICAN,Meta Sokol,L40,L,CAT-F
LET,Turbolet,L410,L,CAT-F
STINSON,OY Sentinel,L5,L,CAT-F
AERO (2),L-59,L59,L,CAT-F
ORLICAN,L-60 Brigadyr,L60,L,CAT-F
LET,L-610,L610,M,CAT-F
VALMET,L-70 Miltrainer,L70,L,CAT-F
TEMCO,Silvaire,L8,L,CAT-F
VALMET,L-90TP Redigo,L90,L,CAT-F
MACCHI,AL-60,LA60,L,CAT-F
AERMACCHI,AL-60 Turbine Grizzly,LA6T,L,CAT-F
LAVEN,LACO-125,LACO,L,CAT-F
LANGE,E-1 Antares 20E,LAE1,L,CAT-F
LASER,Akro Z,LAKR,L,CAT-F
AVIA BALTIKA,LAK-X,LAKX,L,CAT-F
AVRO,683 Lancaster,LANC,M,CAT-E
NORTH AMERICAN,Lark Commander,LARK,L,CAT-F
UTVA,Lasta,LAST,L,CAT-F
REFLEX,Lightning Bug,LBUG,L,CAT-F
ADA,LCA Tejas,LCA,M,CAT-F
LAIRD,Commercial,LCB,L,CAT-F
LAIRD,Speedwing,LCR,L,CAT-F
LANCAIR,Legacy,LEG2,L,CAT-F
PERFORMANCE,Legend,LEGD,L,CAT-F
CHICHESTER-MILES,Leopard,LEOP,L,CAT-F
LANCAIR,Lancair ES-P,LESP,L,CAT-F
TAPANEE,Levitation 4,LEVI,L,CAT-F
RUTAN,61 Long-EZ,LGEZ,L,CAT-F
LH AVIATION,LH-10 Ellipse,LH10,L,CAT-F
LIBERTY (1),Bellaire,LIBE,L,CAT-F
GRIFFON,Lionheart,LION,L,CAT-F
LEAR JET,23,LJ23,L,CAT-F
LEAR JET,24,LJ24,L,CAT-F
LEAR JET,25,LJ25,L,CAT-F
LEARJET,28,LJ28,L,CAT-F
LEARJET,31,LJ31,M,CAT-F
LEARJET,35,LJ35,M,CAT-F
LEARJET,40,LJ40,M,CAT-F
LEARJET,45,LJ45,M,CAT-F
LEARJET,55,LJ55,M,CAT-F
LEARJET,60,LJ60,M,CAT-F
LEARJET,70,LJ70,M,CAT-F
LEARJET,75,LJ75,M,CAT-F
LEARJET,85,LJ85,M,CAT-E
SPORTINE AVIACIJA,LAK-17AT,LK17,L,CAT-F
SPORTINE AVIACIJA,LAK-19T,LK19,L,CAT-F
SPORTINE AVIACIJA,LAK-20M,LK20,L,CAT-F
LOMBARDI,LM-5 Aviastar,LM5,L,CAT-F
LIGHT MINIATURE,Super Cub,LM5X,L,CAT-F
LOMBARDI,LM-7,LM7,L,CAT-F
CATA,Oryx,LMK1,L,CAT-F
FALCOMPOSITE,LN-27 Furio,LN27,L,CAT-F
PAI,Lancair 320,LNC2,L,CAT-F
PAI,Lancair 4,LNC4,L,CAT-F
PAI,Lancair ES,LNCE,L,CAT-F
LANCAIR,Lancair PropJet 4,LNP4,L,CAT-F
LANCAIR,Sentry 4T,LNT4,L,CAT-F
AEROLAB,LoCamp,LOCA,L,CAT-F
LOVING-WAYNE,Love,LOVE,L,CAT-F
LOPRESTI,Fury,LP1,L,CAT-F
DG FLUGZEUGBAU,LS-10ST,LS10,L,CAT-F
